[('docks_c.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('armory1.png', 0), ('grass_45.png', -180), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('river4a.png', -180), ('river7b.png', -90), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', -180), ('river4a.png', 0), ('river4a.png', -180), ('river2b.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('hill3.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('pond5.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('hill3.png', 0), ('grass_6.png', 0), ('pond2.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_2.png', 0), ('hill3.png', 0), ('hill3.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_6.png', 0), ('hill3.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_1.png', 0), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('hill3.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_1.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_5.png', 0), ('grass_3.png', 0), ('pond1.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_5.png', 0), ('grass_1.png', -90), ('grass_1.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_5.png', 0), ('grass_3.png', 0), ('grass_5.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('pond5.png', 0), ('grass_6.png', 0), ('blue30x30.png', 0)]
[('river2a.png', 0), ('grass_5.png', 0), ('grass_5.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_5.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_6.png', 0), ('grass_13.png', 0), ('grass_6.png', 0), ('blue30x30.png', 0)]
[('river2a.png', -180), ('river4b.png', -180), ('river2a.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -180), ('river2b.png', -270), ('river2b.png', -90), ('tile housewall4.png', 0), ('tile housewall5a.png', 0), ('tile housewall3.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_3.png', 0), ('grass_3.png', 0), ('river7a.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -180), ('river2b.png', -270), ('river2b.png', -90), ('grass_2.png', 0), ('tile housewall1.png', 0), ('tile housewall7.png', 0), ('tile housewall2.png', 0), ('grass_6.png', 0), ('blue30x30.png', 0)]
[('grass_3.png', 0), ('grass_3.png', 0), ('river4b.png', -90), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -180), ('river2b.png', -270), ('river2b.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_45.png', -90), ('grass_45.png', -270), ('grass_6.png', 0), ('grass_6.png', 0), ('blue30x30.png', 0)]
[('river4b.png', 0), ('river4b.png', 0), ('river5a.png', 0), ('river4b.png', 0), ('river4b.png', 0), ('river4a.png', 0), ('river4a.png', 0), ('river4a.png', 0), ('river4a.png', 0), ('river4a.png', 0), ('river4a.png', 0), ('river2b.png', -90), ('grass_46.png', 0), ('grass_45.png', -180), ('grass_45.png', -90), ('grass_45.png', -270), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('blue30x30.png', 0)]
[('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_45.png', 0), ('grass_7.png', 0), ('grass_7.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_6.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_45.png', 0), ('grass_7.png', 0), ('grass_45.png', -180), ('grass_6.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
[('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -180), ('grass_1.png', -270), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_3.png', 0), ('grass_1.png', -90), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_2.png', 0), ('grass_45.png', 0), ('grass_7.png', 0), ('grass_45.png', -180), ('grass_2.png', 0), ('grass_2.png', 0), ('blue30x30.png', 0)]
